Año,Semana,Entidad,Ax_003,Valor
2014,sem02,Aguascalientes,Sem.,0
2014,sem02,Aguascalientes,H,0
2014,sem02,Aguascalientes,M,0
2014,sem02,Baja California,Sem.,0
2014,sem02,Baja California,H,0
2014,sem02,Baja California,M,0
2014,sem02,Baja California Sur,Sem.,0
2014,sem02,Baja California Sur,H,0
2014,sem02,Baja California Sur,M,0
2014,sem02,Campeche,Sem.,0
2014,sem02,Campeche,H,0
2014,sem02,Campeche,M,0
2014,sem02,Coahuila,Sem.,0
2014,sem02,Coahuila,H,0
2014,sem02,Coahuila,M,0
2014,sem02,Colima,Sem.,0
2014,sem02,Colima,H,0
2014,sem02,Colima,M,0
2014,sem02,Chiapas,Sem.,0
2014,sem02,Chiapas,H,0
2014,sem02,Chiapas,M,0
2014,sem02,Chihuahua,Sem.,0
2014,sem02,Chihuahua,H,0
2014,sem02,Chihuahua,M,0
2014,sem02,Ciudad de México,Sem.,0
2014,sem02,Ciudad de México,H,0
2014,sem02,Ciudad de México,M,0
2014,sem02,Durango,Sem.,0
2014,sem02,Durango,H,0
2014,sem02,Durango,M,0
2014,sem02,Guanajuato,Sem.,1
2014,sem02,Guanajuato,H,0
2014,sem02,Guanajuato,M,1
2014,sem02,Guerrero,Sem.,0
2014,sem02,Guerrero,H,0
2014,sem02,Guerrero,M,0
2014,sem02,Hidalgo,Sem.,0
2014,sem02,Hidalgo,H,0
2014,sem02,Hidalgo,M,0
2014,sem02,Jalisco,Sem.,0
2014,sem02,Jalisco,H,0
2014,sem02,Jalisco,M,0
2014,sem02,México,Sem.,0
2014,sem02,México,H,0
2014,sem02,México,M,0
2014,sem02,Michoacán,Sem.,0
2014,sem02,Michoacán,H,0
2014,sem02,Michoacán,M,0
2014,sem02,Morelos,Sem.,0
2014,sem02,Morelos,H,0
2014,sem02,Morelos,M,0
2014,sem02,Nayarit,Sem.,0
2014,sem02,Nayarit,H,0
2014,sem02,Nayarit,M,0
2014,sem02,Nuevo León,Sem.,0
2014,sem02,Nuevo León,H,0
2014,sem02,Nuevo León,M,0
2014,sem02,Oaxaca,Sem.,0
2014,sem02,Oaxaca,H,0
2014,sem02,Oaxaca,M,0
2014,sem02,Puebla,Sem.,0
2014,sem02,Puebla,H,0
2014,sem02,Puebla,M,0
2014,sem02,Querétaro,Sem.,0
2014,sem02,Querétaro,H,0
2014,sem02,Querétaro,M,0
2014,sem02,Quintana Roo,Sem.,0
2014,sem02,Quintana Roo,H,0
2014,sem02,Quintana Roo,M,0
2014,sem02,San Luis Potosí,Sem.,0
2014,sem02,San Luis Potosí,H,0
2014,sem02,San Luis Potosí,M,0
2014,sem02,Sinaloa,Sem.,1
2014,sem02,Sinaloa,H,0
2014,sem02,Sinaloa,M,1
2014,sem02,Sonora,Sem.,0
2014,sem02,Sonora,H,0
2014,sem02,Sonora,M,0
2014,sem02,Tabasco,Sem.,0
2014,sem02,Tabasco,H,0
2014,sem02,Tabasco,M,0
2014,sem02,Tamaulipas,Sem.,0
2014,sem02,Tamaulipas,H,0
2014,sem02,Tamaulipas,M,0
2014,sem02,Tlaxcala,Sem.,0
2014,sem02,Tlaxcala,H,0
2014,sem02,Tlaxcala,M,0
2014,sem02,Veracruz,Sem.,0
2014,sem02,Veracruz,H,0
2014,sem02,Veracruz,M,0
2014,sem02,Yucatán,Sem.,2
2014,sem02,Yucatán,H,2
2014,sem02,Yucatán,M,0
2014,sem02,Zacatecas,Sem.,0
2014,sem02,Zacatecas,H,0
2014,sem02,Zacatecas,M,0
2014,sem03,Aguascalientes,Sem.,0
2014,sem03,Aguascalientes,H,0
2014,sem03,Aguascalientes,M,0
2014,sem03,Baja California,Sem.,6
2014,sem03,Baja California,H,1
2014,sem03,Baja California,M,5
2014,sem03,Baja California Sur,Sem.,0
