Entity,Year,Week,Epi_Year,Week,M,F,New_Cases_Week,Calculated_Difference
Coahuila,2014,6,2014,6,2.0,0.0,1.0,2.0
Durango,2014,8,2014,8,2.0,3.0,0.0,3.0
Michoacán,2014,8,2014,8,6.0,7.0,2.0,3.0
Durango,2014,19,2014,19,3.0,5.0,0.0,3.0
Puebla,2014,19,2014,19,1.0,3.0,1.0,2.0
Ciudad de México,2014,22,2014,22,25.0,34.0,5.0,6.0
Guerrero,2014,26,2014,26,7.0,11.0,0.0,1.0
Chiapas,2014,27,2014,27,11.0,12.0,1.0,4.0
Jalisco,2014,27,2014,27,9.0,13.0,0.0,1.0
Oaxaca,2014,27,2014,27,10.0,9.0,0.0,-1.0
Michoacán,2014,30,2014,30,28.0,27.0,0.0,1.0
Coahuila,2014,33,2014,33,15.0,37.0,1.0,2.0
Morelos,2014,34,2014,34,3.0,11.0,3.0,-18.0
México,2014,34,2014,34,60.0,49.0,3.0,7.0
Tamaulipas,2014,34,2014,34,27.0,47.0,1.0,5.0
Baja California Sur,2014,35,2014,35,4.0,4.0,0.0,2.0
Campeche,2014,35,2014,35,3.0,9.0,1.0,-11.0
Coahuila,2014,35,2014,35,15.0,40.0,0.0,2.0
Quintana Roo,2014,35,2014,35,5.0,14.0,0.0,1.0
Sinaloa,2014,35,2014,35,45.0,75.0,1.0,-8.0
Sonora,2014,35,2014,35,43.0,49.0,0.0,1.0
Veracruz,2014,35,2014,35,16.0,36.0,0.0,-7.0
Baja California,2014,36,2014,36,20.0,47.0,0.0,-2.0
Puebla,2014,37,2014,37,2.0,7.0,0.0,1.0
Guerrero,2014,38,2014,38,12.0,16.0,1.0,2.0
Morelos,2014,38,2014,38,4.0,14.0,0.0,3.0
Querétaro,2014,38,2014,38,2.0,2.0,0.0,1.0
Nayarit,2014,41,2014,41,24.0,40.0,0.0,1.0
Hidalgo,2014,42,2014,42,7.0,12.0,0.0,2.0
Aguascalientes,2014,44,2014,44,2.0,4.0,0.0,1.0
Veracruz,2014,45,2014,45,23.0,50.0,0.0,1.0
Puebla,2014,47,2014,47,3.0,11.0,0.0,1.0
Durango,2014,50,2014,50,7.0,11.0,0.0,1.0
Tamaulipas,2014,50,2014,50,41.0,66.0,2.0,5.0
Veracruz,2014,52,2014,52,29.0,54.0,2.0,5.0
