Year,Week,Date,Entity,Epi_Year,M,F,New_Cases_Week
2014,2,2014-01-06,Aguascalientes,2014,0.0,0.0,0.0
2014,2,2014-01-06,Baja California,2014,0.0,0.0,0.0
2014,2,2014-01-06,Baja California Sur,2014,0.0,0.0,0.0
2014,2,2014-01-06,Campeche,2014,0.0,0.0,0.0
2014,2,2014-01-06,Chiapas,2014,0.0,0.0,0.0
2014,2,2014-01-06,Chihuahua,2014,0.0,0.0,0.0
2014,2,2014-01-06,Ciudad de México,2014,0.0,0.0,0.0
2014,2,2014-01-06,Coahuila,2014,0.0,0.0,0.0
2014,2,2014-01-06,Colima,2014,0.0,0.0,0.0
2014,2,2014-01-06,Durango,2014,0.0,0.0,0.0
2014,2,2014-01-06,Guanajuato,2014,0.0,1.0,1.0
2014,2,2014-01-06,Guerrero,2014,0.0,0.0,0.0
2014,2,2014-01-06,Hidalgo,2014,0.0,0.0,0.0
2014,2,2014-01-06,Jalisco,2014,0.0,0.0,0.0
2014,2,2014-01-06,Michoacán,2014,0.0,0.0,0.0
2014,2,2014-01-06,Morelos,2014,0.0,0.0,0.0
2014,2,2014-01-06,México,2014,0.0,0.0,0.0
2014,2,2014-01-06,Nayarit,2014,0.0,0.0,0.0
2014,2,2014-01-06,Nuevo León,2014,0.0,0.0,0.0
2014,2,2014-01-06,Oaxaca,2014,0.0,0.0,0.0
2014,2,2014-01-06,Puebla,2014,0.0,0.0,0.0
2014,2,2014-01-06,Querétaro,2014,0.0,0.0,0.0
2014,2,2014-01-06,Quintana Roo,2014,0.0,0.0,0.0
2014,2,2014-01-06,San Luis Potosí,2014,0.0,0.0,0.0
2014,2,2014-01-06,Sinaloa,2014,0.0,1.0,1.0
2014,2,2014-01-06,Sonora,2014,0.0,0.0,0.0
2014,2,2014-01-06,Tabasco,2014,0.0,0.0,0.0
2014,2,2014-01-06,Tamaulipas,2014,0.0,0.0,0.0
2014,2,2014-01-06,Tlaxcala,2014,0.0,0.0,0.0
2014,2,2014-01-06,Veracruz,2014,0.0,0.0,0.0
2014,2,2014-01-06,Yucatán,2014,2.0,0.0,2.0
2014,2,2014-01-06,Zacatecas,2014,0.0,0.0,0.0
