Year,Week,Date,Entity,Epi_Year,total_cases
2014,2,2014-01-13,Aguascalientes,2014,0.0
2014,3,2014-01-20,Aguascalientes,2014,0.0
2014,4,2014-01-27,Aguascalientes,2014,0.0
2014,5,2014-02-03,Aguascalientes,2014,0.0
2014,6,2014-02-10,Aguascalientes,2014,0.0
2014,7,2014-02-17,Aguascalientes,2014,0.0
2014,8,2014-02-24,Aguascalientes,2014,0.0
2014,9,2014-03-03,Aguascalientes,2014,0.0
2014,10,2014-03-10,Aguascalientes,2014,0.0
2014,11,2014-03-17,Aguascalientes,2014,0.0
2014,12,2014-03-24,Aguascalientes,2014,1.0
2014,13,2014-03-31,Aguascalientes,2014,0.0
2014,14,2014-04-07,Aguascalientes,2014,0.0
2014,15,2014-04-14,Aguascalientes,2014,0.0
2014,16,2014-04-21,Aguascalientes,2014,0.0
2014,17,2014-04-28,Aguascalientes,2014,1.0
2014,18,2014-05-05,Aguascalientes,2014,0.0
2014,19,2014-05-12,Aguascalientes,2014,0.0
2014,20,2014-05-19,Aguascalientes,2014,0.0
2014,21,2014-05-26,Aguascalientes,2014,0.0
2014,22,2014-06-02,Aguascalientes,2014,0.0
2014,23,2014-06-09,Aguascalientes,2014,0.0
2014,24,2014-06-16,Aguascalientes,2014,0.0
2014,25,2014-06-23,Aguascalientes,2014,0.0
2014,26,2014-06-30,Aguascalientes,2014,0.0
2014,27,2014-07-07,Aguascalientes,2014,0.0
2014,28,2014-07-14,Aguascalientes,2014,0.0
2014,29,2014-07-21,Aguascalientes,2014,0.0
2014,30,2014-07-28,Aguascalientes,2014,1.0
2014,31,2014-08-04,Aguascalientes,2014,0.0
2014,32,2014-08-11,Aguascalientes,2014,0.0
2014,33,2014-08-18,Aguascalientes,2014,0.0
2014,34,2014-08-25,Aguascalientes,2014,0.0
2014,35,2014-09-01,Aguascalientes,2014,1.0
2014,36,2014-09-08,Aguascalientes,2014,0.0
2014,37,2014-09-15,Aguascalientes,2014,0.0
2014,38,2014-09-22,Aguascalientes,2014,0.0
2014,39,2014-09-29,Aguascalientes,2014,0.0
2014,40,2014-10-06,Aguascalientes,2014,0.0
2014,41,2014-10-13,Aguascalientes,2014,0.0
2014,42,2014-10-20,Aguascalientes,2014,0.0
2014,43,2014-10-27,Aguascalientes,2014,1.0
2014,44,2014-11-03,Aguascalientes,2014,1.0
2014,45,2014-11-10,Aguascalientes,2014,0.0
2014,46,2014-11-17,Aguascalientes,2014,1.0
2014,47,2014-11-24,Aguascalientes,2014,0.0
2014,48,2014-12-01,Aguascalientes,2014,1.0
2014,49,2014-12-08,Aguascalientes,2014,0.0
2014,50,2014-12-15,Aguascalientes,2014,1.0
2014,51,2014-12-22,Aguascalientes,2014,0.0
2014,52,2014-12-29,Aguascalientes,2014,0.0
2014,53,2015-01-05,Aguascalientes,2014,1.0
2015,1,2015-01-05,Aguascalientes,2014,2.0
2015,2,2015-01-12,Aguascalientes,2015,0.0
2015,3,2015-01-19,Aguascalientes,2015,1.0
2015,4,2015-01-26,Aguascalientes,2015,0.0
2015,5,2015-02-02,Aguascalientes,2015,1.0
2015,6,2015-02-09,Aguascalientes,2015,0.0
2015,7,2015-02-16,Aguascalientes,2015,0.0
2015,8,2015-02-23,Aguascalientes,2015,0.0
2015,9,2015-03-02,Aguascalientes,2015,0.0
2015,10,2015-03-09,Aguascalientes,2015,0.0
2015,11,2015-03-16,Aguascalientes,2015,0.0
2015,12,2015-03-23,Aguascalientes,2015,0.0
2015,13,2015-03-30,Aguascalientes,2015,0.0
2015,14,2015-04-06,Aguascalientes,2015,0.0
2015,15,2015-04-13,Aguascalientes,2015,0.0
2015,16,2015-04-20,Aguascalientes,2015,0.0
2015,17,2015-04-27,Aguascalientes,2015,0.0
2015,18,2015-05-04,Aguascalientes,2015,1.0
2015,19,2015-05-11,Aguascalientes,2015,1.0
2015,20,2015-05-18,Aguascalientes,2015,0.0
2015,21,2015-05-25,Aguascalientes,2015,0.0
2015,22,2015-06-01,Aguascalientes,2015,1.0
2015,23,2015-06-08,Aguascalientes,2015,0.0
2015,24,2015-06-15,Aguascalientes,2015,0.0
2015,25,2015-06-22,Aguascalientes,2015,0.0
2015,26,2015-06-29,Aguascalientes,2015,3.0
2015,27,2015-07-06,Aguascalientes,2015,0.0
2015,28,2015-07-13,Aguascalientes,2015,0.0
2015,29,2015-07-20,Aguascalientes,2015,0.0
2015,30,2015-07-27,Aguascalientes,2015,0.0
2015,31,2015-08-03,Aguascalientes,2015,1.0
2015,32,2015-08-10,Aguascalientes,2015,1.0
2015,33,2015-08-17,Aguascalientes,2015,0.0
2015,34,2015-08-24,Aguascalientes,2015,0.0
2015,35,2015-08-31,Aguascalientes,2015,0.0
2015,36,2015-09-07,Aguascalientes,2015,0.0
2015,37,2015-09-14,Aguascalientes,2015,1.0
2015,38,2015-09-21,Aguascalientes,2015,0.0
2015,39,2015-09-28,Aguascalientes,2015,0.0
2015,40,2015-10-05,Aguascalientes,2015,1.0
2015,41,2015-10-12,Aguascalientes,2015,0.0
2015,42,2015-10-19,Aguascalientes,2015,1.0
2015,43,2015-10-26,Aguascalientes,2015,0.0
2015,44,2015-11-02,Aguascalientes,2015,-1.0
2015,45,2015-11-09,Aguascalientes,2015,2.0
