Year,Week,Date,Total_Cases
2014,2,2014-01-12,4
2014,3,2014-01-19,29
2014,4,2014-01-26,47
2014,5,2014-02-02,36
2014,6,2014-02-09,42
2014,7,2014-02-16,30
2014,8,2014-02-23,45
2014,9,2014-03-02,34
2014,10,2014-03-09,28
2014,11,2014-03-16,54
2014,12,2014-03-23,38
2014,13,2014-03-30,40
2014,14,2014-04-06,56
2014,15,2014-04-13,41
2014,16,2014-04-20,42
2014,17,2014-04-27,35
2014,18,2014-05-04,43
2014,19,2014-05-11,43
2014,20,2014-05-18,36
2014,21,2014-05-25,44
2014,22,2014-06-01,43
2014,23,2014-06-08,50
2014,24,2014-06-15,40
2014,25,2014-06-22,48
2014,26,2014-06-29,42
2014,27,2014-07-06,41
2014,28,2014-07-13,43
2014,29,2014-07-20,49
2014,30,2014-07-27,22
2014,31,2014-08-03,40
2014,32,2014-08-10,35
2014,33,2014-08-17,27
2014,34,2014-08-24,48
2014,35,2014-08-31,130
2014,36,2014-09-07,55
2014,37,2014-09-14,37
2014,38,2014-09-21,44
2014,39,2014-09-28,25
2014,40,2014-10-05,29
2014,41,2014-10-12,35
2014,42,2014-10-19,31
2014,43,2014-10-26,42
2014,44,2014-11-02,25
2014,45,2014-11-09,26
2014,46,2014-11-16,24
2014,47,2014-11-23,41
2014,48,2014-11-30,17
2014,49,2014-12-07,22
2014,50,2014-12-14,26
2014,51,2014-12-21,15
2014,52,2014-12-28,16
2014,53,2015-01-04,31
2015,2,2015-01-11,20
2015,3,2015-01-18,15
2015,4,2015-01-25,12
2015,5,2015-02-01,16
2015,6,2015-02-08,16
2015,7,2015-02-15,30
2015,8,2015-02-22,27
2015,9,2015-03-01,19
2015,10,2015-03-08,17
2015,11,2015-03-15,42
2015,12,2015-03-22,24
2015,13,2015-03-29,28
2015,14,2015-04-05,29
2015,15,2015-04-12,49
2015,16,2015-04-19,48
2015,17,2015-04-26,48
2015,18,2015-05-03,36
2015,19,2015-05-10,55
2015,20,2015-05-17,42
