Fecha,Año,Semana,Real,Predic
2023-01-02,2023,1,35,31
2023-01-09,2023,2,39,33
2023-01-16,2023,3,60,50
2023-01-23,2023,4,45,49
2023-01-30,2023,5,59,53
2023-02-06,2023,6,53,41
2023-02-13,2023,7,48,46
2023-02-20,2023,8,48,52
2023-02-27,2023,9,60,52
2023-03-06,2023,10,66,54
2023-03-13,2023,11,62,53
2023-03-20,2023,12,54,50
2023-03-27,2023,13,50,45
2023-04-03,2023,14,52,50
2023-04-10,2023,15,28,44
2023-04-17,2023,16,52,52
2023-04-24,2023,17,62,40
2023-05-01,2023,18,50,53
2023-05-08,2023,19,44,44
2023-05-15,2023,20,44,52
2023-05-22,2023,21,39,51
2023-05-29,2023,22,46,53
2023-06-05,2023,23,46,47
2023-06-12,2023,24,54,45
2023-06-19,2023,25,59,44
2023-06-26,2023,26,45,49
2023-07-03,2023,27,60,49
2023-07-10,2023,28,57,45
2023-07-17,2023,29,48,47
2023-07-24,2023,30,44,47
2023-07-31,2023,31,47,44
2023-08-07,2023,32,46,40
2023-08-14,2023,33,50,50
2023-08-21,2023,34,58,52
2023-08-28,2023,35,62,51
2023-09-04,2023,36,60,49
2023-09-11,2023,37,54,44
2023-09-18,2023,38,50,37
2023-09-25,2023,39,58,44
2023-10-02,2023,40,60,44
2023-10-09,2023,41,61,47
2023-10-16,2023,42,62,49
2023-10-23,2023,43,58,43
2023-10-30,2023,44,58,44
2023-11-06,2023,45,47,41
2023-11-13,2023,46,36,43
2023-11-20,2023,47,54,42
2023-11-27,2023,48,38,39
2023-12-04,2023,49,43,38
2023-12-11,2023,50,38,40
2023-12-18,2023,51,32,36
2023-12-25,2023,52,36,29
2024-01-01,2024,1,28,25
2024-01-08,2024,2,31,28
2024-01-15,2024,3,48,44
2024-01-22,2024,4,32,45
2024-01-29,2024,5,34,48
2024-02-05,2024,6,50,40
2024-02-12,2024,7,49,41
2024-02-19,2024,8,52,43
2024-02-26,2024,9,58,45
2024-03-04,2024,10,49,47
2024-03-11,2024,11,53,46
2024-03-18,2024,12,54,47
2024-03-25,2024,13,50,41
2024-04-01,2024,14,41,46
2024-04-08,2024,15,61,38
2024-04-15,2024,16,49,48
2024-04-22,2024,17,49,37
2024-04-29,2024,18,41,46
2024-05-06,2024,19,30,44
2024-05-13,2024,20,36,43
2024-05-20,2024,21,57,46
2024-05-27,2024,22,38,43
2024-06-03,2024,23,34,44
2024-06-10,2024,24,36,37
2024-06-17,2024,25,37,42
2024-06-24,2024,26,34,44
2024-07-01,2024,27,34,46
2024-07-08,2024,28,30,40
2024-07-15,2024,29,36,42
2024-07-22,2024,30,32,43
2024-07-29,2024,31,40,39
2024-08-05,2024,32,42,38
2024-08-12,2024,33,43,41
2024-08-19,2024,34,32,47
2024-08-26,2024,35,40,43
2024-09-02,2024,36,40,45
2024-09-09,2024,37,34,37
2024-09-16,2024,38,42,37
2024-09-23,2024,39,46,39
2024-09-30,2024,40,44,42
2024-10-07,2024,41,38,41
2024-10-14,2024,42,47,45
2024-10-21,2024,43,48,38
2024-10-28,2024,44,41,37
2024-11-04,2024,45,38,39
2024-11-11,2024,46,46,36
2024-11-18,2024,47,46,39
2024-11-25,2024,48,29,34
2024-12-02,2024,49,48,33
2024-12-09,2024,50,44,34
2024-12-16,2024,51,30,33
2024-12-23,2024,52,37,30
2024-12-30,2024,1,25,22
2025-01-06,2025,2,23,26
2025-01-13,2025,3,35,36
2025-01-20,2025,4,38,40
2025-01-27,2025,5,40,41
2025-02-03,2025,6,57,37
2025-02-10,2025,7,48,35
2025-02-17,2025,8,63,38
2025-02-24,2025,9,59,41
2025-03-03,2025,10,45,41
2025-03-10,2025,11,43,39
2025-03-17,2025,12,57,43
2025-03-24,2025,13,36,37
2025-03-31,2025,14,26,42
2025-04-07,2025,15,28,35
2025-04-14,2025,16,31,42
2025-04-21,2025,17,23,33
2025-04-28,2025,18,47,36
2025-05-05,2025,19,42,41
2025-05-12,2025,20,44,34
2025-05-19,2025,21,38,44
2025-05-26,2025,22,30,38
2025-06-02,2025,23,48,41
2025-06-09,2025,24,30,31
2025-06-16,2025,25,37,38
2025-06-23,2025,26,35,38
2025-06-30,2025,27,42,41
2025-07-07,2025,28,41,38
2025-07-14,2025,29,52,36
2025-07-21,2025,30,37,37
2025-07-28,2025,31,29,32
2025-08-04,2025,32,38,34
2025-08-11,2025,33,35,32
2025-08-18,2025,34,45,44
2025-08-25,2025,35,49,38
2025-09-01,2025,36,38,42
2025-09-08,2025,37,32,32
2025-09-15,2025,38,37,34
2025-09-22,2025,39,26,31
2025-09-29,2025,40,37,38
2025-10-06,2025,41,34,36
2025-10-13,2025,42,49,40
2025-10-20,2025,43,45,34
