ds,y
2024-12-30,25
2025-01-06,23
2025-01-13,35
2025-01-20,38
2025-01-27,40
2025-02-03,57
2025-02-10,48
2025-02-17,63
2025-02-24,59
2025-03-03,45
2025-03-10,43
2025-03-17,57
2025-03-24,36
2025-03-31,26
2025-04-07,28
2025-04-14,31
2025-04-21,23
2025-04-28,47
2025-05-05,42
2025-05-12,44
2025-05-19,38
2025-05-26,30
2025-06-02,48
2025-06-09,30
2025-06-16,37
2025-06-23,35
2025-06-30,42
2025-07-07,41
2025-07-14,52
2025-07-21,37
2025-07-28,29
2025-08-04,38
2025-08-11,35
2025-08-18,45
2025-08-25,49
2025-09-01,38
2025-09-08,32
2025-09-15,37
2025-09-22,26
2025-09-29,37
2025-10-06,34
2025-10-13,49
2025-10-20,45
